,Rk,Player,Pos,MP,Starts,Min,90s,Gls,Ast,NPG,PG,PA_x,YC,RC,Gls/90,Ast/90,G+A/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,SCA,SCA/90,SCPass,SCDeadPass,SCDrib,GCA,GCA/90,GCPass,GCDeadPass,GCDrib,PossTkl,TklDef3rd,TklMid3rd,TklAtt3rd,DriblTkl%,DriblledPast,%SuccPress,PressDef3rd,PressMid3rd,PressAtt3rd,Blocks,ShotBlocks,Interception,Clearances,GoalErrors,TCP,PA_y,TotDist,PrgDist,TSPC,SPA,TMPC,MPA,TLPC,LPA,KeyP,Pass18,Cross18,ProgPass,Live,Dead,FKPass,PressPass,Cross,LeftP,RightP,Touches,Def3rdTouch,Mid3rdTouch,Att3rdTouch,AttPenTouch,SuccDrib,AtmpDrib,Nutnegs,Carries,TotDistCarry,PrgDistCarry,CarryAtt3rd,Carry18Yd,CarryDIsp
0,1,Max Aarons,DF,18,18,1620,18.0,0,1,0,0,0,4,0,0.0,0.06,0.06,0.6,0.6,0.9,1.4,0.03,0.05,0.08,0.03,0.08,23,1.28,19,0,1,4,0.22,4,0,0,24,28,9,0,61.1,14,28.2,122,66,21,46,14,26,34,0,643,829,11037,3813,317,347,257,326,61,124,12,27,7,65,650,179,9,89,35,89,548,1056,389,454,289,16,25,53,4,647,3836,2370,34,7,20
1,2,Che Adams,FW,13,11,868,9.6,3,1,3,0,0,0,0,0.31,0.1,0.41,2.4,2.4,1.4,3.8,0.25,0.15,0.4,0.25,0.4,20,2.07,14,0,1,2,0.21,1,0,0,6,2,2,4,33.3,2,26.4,16,49,75,15,4,6,9,0,130,195,1891,421,78,100,35,53,9,18,10,6,1,16,189,6,0,55,4,15,144,328,45,142,157,44,4,12,0,202,796,369,6,3,20
2,3,Rayan Aït Nouri,DF,9,8,718,8.0,0,1,0,0,0,1,0,0.0,0.13,0.13,0.3,0.3,0.6,0.8,0.04,0.07,0.11,0.04,0.11,15,1.88,6,5,3,1,0.13,0,1,0,22,30,6,3,60.0,10,34.4,111,49,23,10,0,17,14,0,312,440,5292,1870,160,177,122,164,28,78,6,6,4,17,352,88,6,61,22,297,53,558,205,201,172,18,17,31,2,343,1681,1100,8,7,17
3,4,Kristoffer Ajer,DF,7,6,565,6.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.03,0.05,0.07,0.03,0.07,6,0.96,4,1,0,0,0.0,0,0,0,5,8,1,2,50.0,7,31.6,29,24,4,9,4,13,35,0,136,209,2410,1083,56,66,65,91,11,35,1,2,1,12,163,46,6,34,3,9,129,289,128,134,44,9,4,6,0,126,774,452,5,0,2
4,5,Nathan Aké,DF,8,6,581,6.5,1,0,1,0,0,0,0,0.15,0.0,0.15,0.3,0.3,0.0,0.3,0.04,0.0,0.04,0.04,0.04,0,0.0,0,0,0,0,0.0,0,0,0,4,2,3,1,50.0,1,30.8,17,19,3,8,5,12,22,0,456,495,8110,2313,200,211,219,237,34,43,0,3,0,15,476,19,3,34,0,356,89,549,192,321,80,3,0,2,0,402,2084,1406,9,0,1
5,6,Marc Albrighton,"DF,FW",8,4,430,4.8,1,0,1,0,0,1,0,0.21,0.0,0.21,0.5,0.5,0.3,0.7,0.1,0.06,0.15,0.1,0.15,6,1.26,3,2,0,0,0.0,0,0,0,6,7,6,3,23.1,10,18.9,44,69,19,8,1,13,3,0,90,157,1593,778,50,56,31,48,8,42,4,3,2,8,122,35,3,31,8,9,124,218,51,100,76,5,10,18,1,124,503,186,3,2,7
6,7,Thiago Alcántara,MF,11,8,676,7.5,1,1,1,0,0,1,0,0.13,0.13,0.27,1.5,1.5,1.0,2.5,0.19,0.13,0.33,0.19,0.33,29,3.86,23,0,0,2,0.27,2,0,0,19,10,13,3,23.5,13,40.5,38,62,26,9,1,11,7,1,563,645,11943,3341,195,215,263,289,100,128,10,8,0,79,636,9,5,90,0,41,565,718,137,465,169,20,2,6,0,527,2315,1203,23,4,5
7,8,Trent Alexander-Arnold,DF,18,18,1594,17.7,2,9,2,0,0,1,0,0.11,0.51,0.62,1.9,1.9,7.1,9.0,0.11,0.4,0.51,0.11,0.51,90,5.08,53,32,1,12,0.68,8,4,0,15,12,10,3,38.9,22,35.6,60,52,51,21,2,48,29,1,1162,1536,25145,10107,449,508,451,552,250,437,54,50,12,168,1223,313,55,128,69,167,1148,1702,341,795,642,53,12,20,0,979,3666,2023,38,9,15
8,9,Alisson,GK,18,18,1620,18.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.06,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,66.7,3,0,0,0,0,0,1,1,566,644,14906,8162,93,93,326,329,146,221,0,0,0,0,534,110,27,32,0,39,496,703,697,6,0,0,1,2,0,412,1462,800,0,0,0
9,10,Allan,MF,16,16,1407,15.6,0,2,0,0,0,2,0,0.0,0.13,0.13,0.1,0.1,0.5,0.6,0.01,0.03,0.04,0.01,0.04,21,1.34,20,0,0,6,0.38,5,0,0,38,24,17,5,19.2,42,31.4,162,206,37,31,5,26,28,0,456,595,9033,2819,157,188,215,259,70,112,11,13,2,73,556,39,14,91,4,66,495,760,225,437,140,9,12,16,1,457,2322,1255,18,2,17
